Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions,date,id
35.5,26.7,30.2,0.29,0.0,0.0,13.6,281.33,8.0,92.6,85.7,"Rain, Overcast",2019-01-01,1040
31.1,27.5,29.3,0.0,0.0,0.0,16.2,215.5,7.5,88.0,82.67,Overcast,2019-01-02,654
39.6,25.0,31.9,0.0,0.0,0.0,14.6,220.88,9.7,14.9,75.29,Clear,2019-01-03,752
49.5,31.9,38.4,0.0,0.0,0.0,11.3,247.21,9.9,13.4,68.89,Clear,2019-01-04,767
53.1,31.6,40.8,0.0,0.0,0.0,14.2,261.75,9.9,27.3,75.09,Partially cloudy,2019-01-05,792
40.5,35.7,38.8,0.0,0.0,0.0,17.4,85.13,9.9,71.2,73.63,Partially cloudy,2019-01-06,664
54.2,41.1,46.2,0.39,0.0,0.0,22.2,194.75,8.6,79.1,82.93,"Rain, Overcast",2019-01-07,676
46.2,26.8,39.7,0.0,0.0,0.0,26.4,261.33,8.3,75.8,70.72,Overcast,2019-01-08,700
25.9,17.5,20.7,0.0,0.0,0.0,20.9,310.83,9.7,75.9,57.29,Overcast,2019-01-09,631
25.0,15.0,20.1,0.0,0.0,0.0,13.6,224.29,9.9,65.8,65.49,Partially cloudy,2019-01-10,686
30.8,22.0,27.3,0.0,0.0,0.0,9.5,159.5,9.4,85.9,71.24,Overcast,2019-01-11,784
31.1,29.8,30.5,0.08,2.21,2.21,18.3,91.17,4.7,92.3,80.9,"Snow, Overcast",2019-01-12,672
31.7,27.7,29.5,0.0,1.33,3.54,15.8,81.29,8.4,84.7,74.66,"Snow, Overcast",2019-01-13,573
28.0,22.6,25.4,0.0,0.0,2.71,13.0,269.5,8.3,89.5,80.37,Overcast,2019-01-14,635
32.0,25.0,27.6,0.0,0.0,2.1,17.2,246.21,7.1,96.4,84.55,Overcast,2019-01-15,696
34.2,28.8,31.9,0.0,0.0,1.97,13.1,143.92,9.2,93.8,70.38,Overcast,2019-01-16,699
34.9,29.4,32.0,0.0,0.0,1.71,8.9,160.67,7.3,91.9,78.5,Overcast,2019-01-17,653
31.9,28.5,30.1,0.02,3.44,4.63,17.8,158.5,8.1,95.0,75.46,"Snow, Overcast",2019-01-18,667
28.8,14.9,25.3,0.08,3.54,8.17,25.0,81.17,4.2,87.6,83.89,"Snow, Overcast",2019-01-19,520
